Parameter_Name,Increment,Range_Min,Range_Max,Value,Type,Default,Units
SYS_RGB_MAXBRT,N,N,N,N,Float,1.0,%
SYS_STCK_EN,V,N,N,"['0', '1']",Int32,1,N
TEL_BST_EN,V,N,N,"['0', '1']",Int32,0,N
TEL_FRSKY_CONFIG,V,N,N,"['0', '6', '101', '102', '103', '104', '201', '202', '203', '300', '301', '401']",Int32,0,N
TEL_HOTT_CONFIG,V,N,N,"['0', '6', '101', '102', '103', '104', '201', '202', '203', '300', '301', '401']",Int32,0,N
TEST_1,N,N,N,N,Int32,2,N
TEST_2,N,N,N,N,Int32,4,N
TEST_3,N,N,N,N,Float,5.0,N
TEST_D,N,N,N,N,Float,0.01,N
TEST_DEV,N,N,N,N,Float,2.0,N
TEST_D_LP,N,N,N,N,Float,10.0,N
TEST_HP,N,N,N,N,Float,10.0,N
TEST_I,N,N,N,N,Float,0.1,N
TEST_I_MAX,N,N,N,N,Float,1.0,N
TEST_LP,N,N,N,N,Float,10.0,N
TEST_MAX,N,N,N,N,Float,1.0,N
TEST_MEAN,N,N,N,N,Float,1.0,N
TEST_MIN,N,N,N,N,Float,-1.0,N
TEST_P,N,N,N,N,Float,0.2,N
TEST_PARAMS,N,N,N,N,Int32,12345678,N
TEST_RC2_X,N,N,N,N,Int32,16,N
TEST_RC_X,N,N,N,N,Int32,8,N
TEST_TRIM,N,N,N,N,Float,0.5,N
TC_A0_ID,N,N,N,N,Int32,0,N
TC_A0_TMAX,N,N,N,N,Float,100.0,N
TC_A0_TMIN,N,N,N,N,Float,0.0,N
TC_A0_TREF,N,N,N,N,Float,25.0,N
TC_A0_X0_0,N,N,N,N,Float,0.0,N
TC_A0_X0_1,N,N,N,N,Float,0.0,N
TC_A0_X0_2,N,N,N,N,Float,0.0,N
TC_A0_X1_0,N,N,N,N,Float,0.0,N
TC_A0_X1_1,N,N,N,N,Float,0.0,N
TC_A0_X1_2,N,N,N,N,Float,0.0,N
TC_A0_X2_0,N,N,N,N,Float,0.0,N
TC_A0_X2_1,N,N,N,N,Float,0.0,N
TC_A0_X2_2,N,N,N,N,Float,0.0,N
TC_A0_X3_0,N,N,N,N,Float,0.0,N
TC_A0_X3_1,N,N,N,N,Float,0.0,N
TC_A0_X3_2,N,N,N,N,Float,0.0,N
TC_A1_ID,N,N,N,N,Int32,0,N
TC_A1_TMAX,N,N,N,N,Float,100.0,N
TC_A1_TMIN,N,N,N,N,Float,0.0,N
TC_A1_TREF,N,N,N,N,Float,25.0,N
TC_A1_X0_0,N,N,N,N,Float,0.0,N
TC_A1_X0_1,N,N,N,N,Float,0.0,N
TC_A1_X0_2,N,N,N,N,Float,0.0,N
TC_A1_X1_0,N,N,N,N,Float,0.0,N
TC_A1_X1_1,N,N,N,N,Float,0.0,N
TC_A1_X1_2,N,N,N,N,Float,0.0,N
TC_A1_X2_0,N,N,N,N,Float,0.0,N
TC_A1_X2_1,N,N,N,N,Float,0.0,N
TC_A1_X2_2,N,N,N,N,Float,0.0,N
TC_A1_X3_0,N,N,N,N,Float,0.0,N
TC_A1_X3_1,N,N,N,N,Float,0.0,N
TC_A1_X3_2,N,N,N,N,Float,0.0,N
TC_A2_ID,N,N,N,N,Int32,0,N
TC_A2_TMAX,N,N,N,N,Float,100.0,N
TC_A2_TMIN,N,N,N,N,Float,0.0,N
TC_A2_TREF,N,N,N,N,Float,25.0,N
TC_A2_X0_0,N,N,N,N,Float,0.0,N
TC_A2_X0_1,N,N,N,N,Float,0.0,N
TC_A2_X0_2,N,N,N,N,Float,0.0,N
TC_A2_X1_0,N,N,N,N,Float,0.0,N
TC_A2_X1_1,N,N,N,N,Float,0.0,N
TC_A2_X1_2,N,N,N,N,Float,0.0,N
TC_A2_X2_0,N,N,N,N,Float,0.0,N
TC_A2_X2_1,N,N,N,N,Float,0.0,N
TC_A2_X2_2,N,N,N,N,Float,0.0,N
TC_A2_X3_0,N,N,N,N,Float,0.0,N
TC_A2_X3_1,N,N,N,N,Float,0.0,N
TC_A2_X3_2,N,N,N,N,Float,0.0,N
TC_A3_ID,N,N,N,N,Int32,0,N
TC_A3_TMAX,N,N,N,N,Float,100.0,N
TC_A3_TMIN,N,N,N,N,Float,0.0,N
TC_A3_TREF,N,N,N,N,Float,25.0,N
TC_A3_X0_0,N,N,N,N,Float,0.0,N
TC_A3_X0_1,N,N,N,N,Float,0.0,N
TC_A3_X0_2,N,N,N,N,Float,0.0,N
TC_A3_X1_0,N,N,N,N,Float,0.0,N
TC_A3_X1_1,N,N,N,N,Float,0.0,N
TC_A3_X1_2,N,N,N,N,Float,0.0,N
TC_A3_X2_0,N,N,N,N,Float,0.0,N
TC_A3_X2_1,N,N,N,N,Float,0.0,N
TC_A3_X2_2,N,N,N,N,Float,0.0,N
TC_A3_X3_0,N,N,N,N,Float,0.0,N
TC_A3_X3_1,N,N,N,N,Float,0.0,N
TC_A3_X3_2,N,N,N,N,Float,0.0,N
TC_A_ENABLE,V,N,N,"['0', '1']",Int32,0,N
TC_B0_ID,N,N,N,N,Int32,0,N
TC_B0_TMAX,N,N,N,N,Float,75.0,N
TC_B0_TMIN,N,N,N,N,Float,5.0,N
TC_B0_TREF,N,N,N,N,Float,40.0,N
TC_B0_X0,N,N,N,N,Float,0.0,N
TC_B0_X1,N,N,N,N,Float,0.0,N
TC_B0_X2,N,N,N,N,Float,0.0,N
TC_B0_X3,N,N,N,N,Float,0.0,N
TC_B0_X4,N,N,N,N,Float,0.0,N
TC_B0_X5,N,N,N,N,Float,0.0,N
TC_B1_ID,N,N,N,N,Int32,0,N
TC_B1_TMAX,N,N,N,N,Float,75.0,N
TC_B1_TMIN,N,N,N,N,Float,5.0,N
TC_B1_TREF,N,N,N,N,Float,40.0,N
TC_B1_X0,N,N,N,N,Float,0.0,N
TC_B1_X1,N,N,N,N,Float,0.0,N
TC_B1_X2,N,N,N,N,Float,0.0,N
TC_B1_X3,N,N,N,N,Float,0.0,N
TC_B1_X4,N,N,N,N,Float,0.0,N
TC_B1_X5,N,N,N,N,Float,0.0,N
TC_B2_ID,N,N,N,N,Int32,0,N
TC_B2_TMAX,N,N,N,N,Float,75.0,N
TC_B2_TMIN,N,N,N,N,Float,5.0,N
TC_B2_TREF,N,N,N,N,Float,40.0,N
TC_B2_X0,N,N,N,N,Float,0.0,N
TC_B2_X1,N,N,N,N,Float,0.0,N
TC_B2_X2,N,N,N,N,Float,0.0,N
TC_B2_X3,N,N,N,N,Float,0.0,N
TC_B2_X4,N,N,N,N,Float,0.0,N
TC_B2_X5,N,N,N,N,Float,0.0,N
TC_B3_ID,N,N,N,N,Int32,0,N
TC_B3_TMAX,N,N,N,N,Float,75.0,N
TC_B3_TMIN,N,N,N,N,Float,5.0,N
TC_B3_TREF,N,N,N,N,Float,40.0,N
TC_B3_X0,N,N,N,N,Float,0.0,N
TC_B3_X1,N,N,N,N,Float,0.0,N
TC_B3_X2,N,N,N,N,Float,0.0,N
TC_B3_X3,N,N,N,N,Float,0.0,N
TC_B3_X4,N,N,N,N,Float,0.0,N
TC_B3_X5,N,N,N,N,Float,0.0,N
TC_B_ENABLE,V,N,N,"['0', '1']",Int32,0,N
TC_G0_ID,N,N,N,N,Int32,0,N
TC_G0_TMAX,N,N,N,N,Float,100.0,N
TC_G0_TMIN,N,N,N,N,Float,0.0,N
TC_G0_TREF,N,N,N,N,Float,25.0,N
TC_G0_X0_0,N,N,N,N,Float,0.0,N
TC_G0_X0_1,N,N,N,N,Float,0.0,N
TC_G0_X0_2,N,N,N,N,Float,0.0,N
TC_G0_X1_0,N,N,N,N,Float,0.0,N
TC_G0_X1_1,N,N,N,N,Float,0.0,N
TC_G0_X1_2,N,N,N,N,Float,0.0,N
TC_G0_X2_0,N,N,N,N,Float,0.0,N
TC_G0_X2_1,N,N,N,N,Float,0.0,N
TC_G0_X2_2,N,N,N,N,Float,0.0,N
TC_G0_X3_0,N,N,N,N,Float,0.0,N
TC_G0_X3_1,N,N,N,N,Float,0.0,N
TC_G0_X3_2,N,N,N,N,Float,0.0,N
TC_G1_ID,N,N,N,N,Int32,0,N
TC_G1_TMAX,N,N,N,N,Float,100.0,N
TC_G1_TMIN,N,N,N,N,Float,0.0,N
TC_G1_TREF,N,N,N,N,Float,25.0,N
TC_G1_X0_0,N,N,N,N,Float,0.0,N
TC_G1_X0_1,N,N,N,N,Float,0.0,N
TC_G1_X0_2,N,N,N,N,Float,0.0,N
TC_G1_X1_0,N,N,N,N,Float,0.0,N
TC_G1_X1_1,N,N,N,N,Float,0.0,N
TC_G1_X1_2,N,N,N,N,Float,0.0,N
TC_G1_X2_0,N,N,N,N,Float,0.0,N
TC_G1_X2_1,N,N,N,N,Float,0.0,N
TC_G1_X2_2,N,N,N,N,Float,0.0,N
TC_G1_X3_0,N,N,N,N,Float,0.0,N
TC_G1_X3_1,N,N,N,N,Float,0.0,N
TC_G1_X3_2,N,N,N,N,Float,0.0,N
TC_G2_ID,N,N,N,N,Int32,0,N
TC_G2_TMAX,N,N,N,N,Float,100.0,N
TC_G2_TMIN,N,N,N,N,Float,0.0,N
TC_G2_TREF,N,N,N,N,Float,25.0,N
TC_G2_X0_0,N,N,N,N,Float,0.0,N
TC_G2_X0_1,N,N,N,N,Float,0.0,N
TC_G2_X0_2,N,N,N,N,Float,0.0,N
TC_G2_X1_0,N,N,N,N,Float,0.0,N
TC_G2_X1_1,N,N,N,N,Float,0.0,N
TC_G2_X1_2,N,N,N,N,Float,0.0,N
TC_G2_X2_0,N,N,N,N,Float,0.0,N
TC_G2_X2_1,N,N,N,N,Float,0.0,N
TC_G2_X2_2,N,N,N,N,Float,0.0,N
TC_G2_X3_0,N,N,N,N,Float,0.0,N
TC_G2_X3_1,N,N,N,N,Float,0.0,N
TC_G2_X3_2,N,N,N,N,Float,0.0,N
TC_G3_ID,N,N,N,N,Int32,0,N
TC_G3_TMAX,N,N,N,N,Float,100.0,N
TC_G3_TMIN,N,N,N,N,Float,0.0,N
TC_G3_TREF,N,N,N,N,Float,25.0,N
TC_G3_X0_0,N,N,N,N,Float,0.0,N
TC_G3_X0_1,N,N,N,N,Float,0.0,N
TC_G3_X0_2,N,N,N,N,Float,0.0,N
TC_G3_X1_0,N,N,N,N,Float,0.0,N
TC_G3_X1_1,N,N,N,N,Float,0.0,N
TC_G3_X1_2,N,N,N,N,Float,0.0,N
TC_G3_X2_0,N,N,N,N,Float,0.0,N
TC_G3_X2_1,N,N,N,N,Float,0.0,N
TC_G3_X2_2,N,N,N,N,Float,0.0,N
TC_G3_X3_0,N,N,N,N,Float,0.0,N
TC_G3_X3_1,N,N,N,N,Float,0.0,N
TC_G3_X3_2,N,N,N,N,Float,0.0,N
TC_G_ENABLE,V,N,N,"['0', '1']",Int32,0,N
TC_M0_ID,N,N,N,N,Int32,0,N
TC_M0_TMAX,N,N,N,N,Float,100.0,N
TC_M0_TMIN,N,N,N,N,Float,0.0,N
TC_M0_TREF,N,N,N,N,Float,25.0,N
TC_M0_X0_0,N,N,N,N,Float,0.0,N
TC_M0_X0_1,N,N,N,N,Float,0.0,N
TC_M0_X0_2,N,N,N,N,Float,0.0,N
TC_M0_X1_0,N,N,N,N,Float,0.0,N
TC_M0_X1_1,N,N,N,N,Float,0.0,N
TC_M0_X1_2,N,N,N,N,Float,0.0,N
TC_M0_X2_0,N,N,N,N,Float,0.0,N
TC_M0_X2_1,N,N,N,N,Float,0.0,N
TC_M0_X2_2,N,N,N,N,Float,0.0,N
TC_M0_X3_0,N,N,N,N,Float,0.0,N
TC_M0_X3_1,N,N,N,N,Float,0.0,N
TC_M0_X3_2,N,N,N,N,Float,0.0,N
TC_M1_ID,N,N,N,N,Int32,0,N
TC_M1_TMAX,N,N,N,N,Float,100.0,N
TC_M1_TMIN,N,N,N,N,Float,0.0,N
TC_M1_TREF,N,N,N,N,Float,25.0,N
TC_M1_X0_0,N,N,N,N,Float,0.0,N
TC_M1_X0_1,N,N,N,N,Float,0.0,N
TC_M1_X0_2,N,N,N,N,Float,0.0,N
TC_M1_X1_0,N,N,N,N,Float,0.0,N
TC_M1_X1_1,N,N,N,N,Float,0.0,N
TC_M1_X1_2,N,N,N,N,Float,0.0,N
TC_M1_X2_0,N,N,N,N,Float,0.0,N
TC_M1_X2_1,N,N,N,N,Float,0.0,N
TC_M1_X2_2,N,N,N,N,Float,0.0,N
TC_M1_X3_0,N,N,N,N,Float,0.0,N
TC_M1_X3_1,N,N,N,N,Float,0.0,N
TC_M1_X3_2,N,N,N,N,Float,0.0,N
TC_M2_ID,N,N,N,N,Int32,0,N
TC_M2_TMAX,N,N,N,N,Float,100.0,N
TC_M2_TMIN,N,N,N,N,Float,0.0,N
TC_M2_TREF,N,N,N,N,Float,25.0,N
TC_M2_X0_0,N,N,N,N,Float,0.0,N
TC_M2_X0_1,N,N,N,N,Float,0.0,N
TC_M2_X0_2,N,N,N,N,Float,0.0,N
TC_M2_X1_0,N,N,N,N,Float,0.0,N
TC_M2_X1_1,N,N,N,N,Float,0.0,N
TC_M2_X1_2,N,N,N,N,Float,0.0,N
TC_M2_X2_0,N,N,N,N,Float,0.0,N
TC_M2_X2_1,N,N,N,N,Float,0.0,N
TC_M2_X2_2,N,N,N,N,Float,0.0,N
TC_M2_X3_0,N,N,N,N,Float,0.0,N
TC_M2_X3_1,N,N,N,N,Float,0.0,N
TC_M2_X3_2,N,N,N,N,Float,0.0,N
TC_M3_ID,N,N,N,N,Int32,0,N
TC_M3_TMAX,N,N,N,N,Float,100.0,N
TC_M3_TMIN,N,N,N,N,Float,0.0,N
TC_M3_TREF,N,N,N,N,Float,25.0,N
TC_M3_X0_0,N,N,N,N,Float,0.0,N
TC_M3_X0_1,N,N,N,N,Float,0.0,N
TC_M3_X0_2,N,N,N,N,Float,0.0,N
TC_M3_X1_0,N,N,N,N,Float,0.0,N
TC_M3_X1_1,N,N,N,N,Float,0.0,N
TC_M3_X1_2,N,N,N,N,Float,0.0,N
TC_M3_X2_0,N,N,N,N,Float,0.0,N
TC_M3_X2_1,N,N,N,N,Float,0.0,N
TC_M3_X2_2,N,N,N,N,Float,0.0,N
TC_M3_X3_0,N,N,N,N,Float,0.0,N
TC_M3_X3_1,N,N,N,N,Float,0.0,N
TC_M3_X3_2,N,N,N,N,Float,0.0,N
TC_M_ENABLE,V,N,N,"['0', '1']",Int32,0,N
MXS_EXT_CFG,V,N,N,"['0', '1']",Int32,0,N
MXS_OP_MODE,V,0,3,"['0', '1', '2', '3']",Int32,0,N
MXS_SER_CFG,V,N,N,"['0', '6', '101', '102', '103', '104', '201', '202', '203', '300', '301', '401']",Int32,0,N
MXS_TARG_PORT,V,0,2,"['0', '1', '2']",Int32,1,N
CANNODE_BITRATE,N,20000,1000000,N,Int32,1000000,N
CANNODE_PUB_IMU,V,N,1,"['0', '1']",Int32,0,N
CANNODE_PUB_MBD,V,N,N,"['0', '1']",Int32,0,N
CANNODE_SUB_MBD,V,N,1,"['0', '1']",Int32,0,N
CANNODE_SUB_RTCM,V,N,N,"['0', '1']",Int32,0,N
CANNODE_TERM,V,N,1,"['0', '1']",Int32,0,N
SIM_GZ_EN,V,N,N,"['0', '1']",Int32,0,N
UAVCAN_BITRATE,N,20000,1000000,N,Int32,1000000,bit/s
UAVCAN_ECU_FUELT,V,0,2,"['0', '1', '2']",Int32,1,N
UAVCAN_ECU_MAXF,0.1,0.0,100000.0,N,Float,15.0,liters
UAVCAN_ENABLE,V,0,3,"['0', '1', '2', '3']",Int32,0,N
UAVCAN_LGT_ANTCL,V,0,3,"['0', '1', '2', '3']",Int32,2,N
UAVCAN_LGT_LAND,V,0,3,"['0', '1', '2', '3']",Int32,0,N
UAVCAN_LGT_NAV,V,0,3,"['0', '1', '2', '3']",Int32,3,N
UAVCAN_LGT_STROB,V,0,3,"['0', '1', '2', '3']",Int32,1,N
UAVCAN_NODE_ID,N,1,125,N,Int32,1,N
UAVCAN_PUB_ARM,V,N,N,"['0', '1']",Int32,0,N
UAVCAN_PUB_MBD,V,N,N,"['0', '1']",Int32,0,N
UAVCAN_PUB_RTCM,V,N,N,"['0', '1']",Int32,0,N
UAVCAN_RNG_MAX,N,N,N,N,Float,999.0,m
UAVCAN_RNG_MIN,N,N,N,N,Float,0.0,m
UAVCAN_SUB_ASPD,V,N,N,"['0', '1']",Int32,0,N
UAVCAN_SUB_BARO,V,N,N,"['0', '1']",Int32,0,N
UAVCAN_SUB_BAT,V,0,2,"['0', '1', '2']",Int32,0,N
UAVCAN_SUB_BTN,V,N,N,"['0', '1']",Int32,0,N
UAVCAN_SUB_DPRES,V,N,N,"['0', '1']",Int32,0,N
UAVCAN_SUB_FLOW,V,N,N,"['0', '1']",Int32,0,N
UAVCAN_SUB_FUEL,V,N,N,"['0', '1']",Int32,0,N
UAVCAN_SUB_GPS,V,N,N,"['0', '1']",Int32,1,N
UAVCAN_SUB_GPS_R,V,N,N,"['0', '1']",Int32,1,N
UAVCAN_SUB_HYGRO,V,N,N,"['0', '1']",Int32,0,N
UAVCAN_SUB_ICE,V,N,N,"['0', '1']",Int32,0,N
UAVCAN_SUB_IMU,V,N,N,"['0', '1']",Int32,0,N
UAVCAN_SUB_MAG,V,N,N,"['0', '1']",Int32,1,N
UAVCAN_SUB_RNG,V,N,N,"['0', '1']",Int32,0,N
UUV_DIRCT_PITCH,N,N,N,N,Float,0.0,N
UUV_DIRCT_ROLL,N,N,N,N,Float,0.0,N
UUV_DIRCT_THRUST,N,N,N,N,Float,0.0,N
UUV_DIRCT_YAW,N,N,N,N,Float,0.0,N
UUV_INPUT_MODE,V,N,N,"['0', '1']",Int32,0,N
UUV_PITCH_D,N,N,N,N,Float,2.0,N
UUV_PITCH_P,N,N,N,N,Float,4.0,N
UUV_ROLL_D,N,N,N,N,Float,1.5,N
UUV_ROLL_P,N,N,N,N,Float,4.0,N
UUV_YAW_D,N,N,N,N,Float,2.0,N
UUV_YAW_P,N,N,N,N,Float,4.0,N
UUV_GAIN_X_D,N,N,N,N,Float,0.2,N
UUV_GAIN_X_P,N,N,N,N,Float,1.0,N
UUV_GAIN_Y_D,N,N,N,N,Float,0.2,N
UUV_GAIN_Y_P,N,N,N,N,Float,1.0,N
UUV_GAIN_Z_D,N,N,N,N,Float,0.2,N
UUV_GAIN_Z_P,N,N,N,N,Float,1.0,N
UUV_STAB_MODE,V,N,N,"['0', '1']",Int32,1,N
UWB_INIT_OFF_X,0.01,N,N,N,Float,0.0,m
UWB_INIT_OFF_Y,0.01,N,N,N,Float,0.0,m
UWB_INIT_OFF_Z,0.01,N,N,N,Float,0.0,m
UWB_PORT_CFG,V,N,N,"['0', '6', '101', '102', '103', '104', '201', '202', '203', '300', '301', '401']",Int32,0,N
UWB_SENS_ROT,V,N,N,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40']",Int32,0,N
UXRCE_DDS_AG_IP,N,N,N,N,Int32,2130706433,N
UXRCE_DDS_CFG,V,N,N,"['0', '6', '101', '102', '103', '104', '201', '202', '203', '300', '301', '401', '1000']",Int32,0,N
UXRCE_DDS_DOM_ID,N,N,N,N,Int32,0,N
UXRCE_DDS_KEY,N,N,N,N,Int32,1,N
UXRCE_DDS_PRT,N,0,65535,N,Int32,8888,N
UXRCE_DDS_PTCFG,V,0,2,"['0', '1', '2']",Int32,0,N
UXRCE_DDS_RX_TO,N,N,N,N,Int32,-1,s
UXRCE_DDS_SYNCC,V,N,N,"['0', '1']",Int32,0,N
UXRCE_DDS_SYNCT,V,N,N,"['0', '1']",Int32,1,N
UXRCE_DDS_TX_TO,N,N,N,N,Int32,3,s
VOXL_ESC_BAUD,N,N,N,N,Int32,250000,bit/s
VOXL_ESC_CONFIG,V,0,1,"['0', '1']",Int32,0,N
VOXL_ESC_GPIO_CH,V,0,6,['0'],Int32,0,N
VOXL_ESC_MODE,V,0,2,"['0', '1', '2', '3']",Int32,0,N
VOXL_ESC_PUB_BST,V,0,1,"['0', '1']",Int32,1,N
VOXL_ESC_RPM_MAX,N,N,N,N,Int32,15000,rpm
VOXL_ESC_RPM_MIN,N,N,N,N,Int32,5500,rpm
VOXL_ESC_SDIR1,V,N,N,"['0', '1']",Int32,0,N
VOXL_ESC_SDIR2,V,N,N,"['0', '1']",Int32,0,N
VOXL_ESC_SDIR3,V,N,N,"['0', '1']",Int32,0,N
VOXL_ESC_SDIR4,V,N,N,"['0', '1']",Int32,0,N
VOXL_ESC_T_COSP,0.001,0.0,1.0,N,Float,0.99,N
VOXL_ESC_T_DEAD,1,0,100,N,Int32,20,N
VOXL_ESC_T_EXPO,1,0,100,N,Int32,35,N
VOXL_ESC_T_MINF,1.0,0.0,100.0,N,Float,0.15,N
VOXL_ESC_T_OVER,V,0,200,['0'],Int32,0,N
VOXL_ESC_T_PERC,1,1,100,N,Int32,90,N
VOXL_ESC_T_WARN,V,0,200,['0'],Int32,0,N
VOXL_ESC_VLOG,V,0,1,"['0', '1']",Int32,0,N
VOXL2_IO_BAUD,N,N,N,N,Int32,921600,bit/s
VOXL2_IO_CMAX,N,0,2000,N,Int32,2000,us
VOXL2_IO_CMIN,N,0,2000,N,Int32,1050,us
VOXL2_IO_DIS,N,0,2000,N,Int32,1000,us
VOXL2_IO_MAX,N,0,2000,N,Int32,2000,us
VOXL2_IO_MIN,N,0,2000,N,Int32,1100,us
VT_ARSP_BLEND,1.0,0.0,30.0,N,Float,8.0,m/s
VT_ARSP_TRANS,1.0,0.0,30.0,N,Float,10.0,m/s
VT_BT_TILT_DUR,0.1,0.1,10.0,N,Float,1.0,s
VT_B_DEC_I,0.05,0.0,0.3,N,Float,0.1,rad s/m
VT_B_DEC_MSS,0.1,0.5,10.0,N,Float,2.0,m/s^2
VT_B_TRANS_DUR,1.0,0.1,20.0,N,Float,10.0,s
VT_B_TRANS_RAMP,0.1,0.0,20.0,N,Float,3.0,s
VT_ELEV_MC_LOCK,V,N,N,"['0', '1']",Int32,1,N
VT_FWD_THRUST_EN,V,N,N,"['0', '1', '2', '3', '4', '5', '6']",Int32,0,N
VT_FWD_THRUST_SC,0.01,0.0,5.0,N,Float,0.7,N
VT_FW_DIFTHR_EN,B,0,7,"['0', '1', '2']",Int32,0,N
VT_FW_DIFTHR_S_P,0.1,0.0,2.0,N,Float,1.0,N
VT_FW_DIFTHR_S_R,0.1,0.0,2.0,N,Float,1.0,N
VT_FW_DIFTHR_S_Y,0.1,0.0,2.0,N,Float,0.1,N
VT_FW_MIN_ALT,1.0,0.0,200.0,N,Float,0.0,m
VT_FW_QC_HMAX,1,0,N,N,Int32,0,m
VT_FW_QC_P,N,0,180,N,Int32,0,deg
VT_FW_QC_R,N,0,180,N,Int32,0,deg
VT_F_TRANS_DUR,1.0,0.1,20.0,N,Float,5.0,s
VT_F_TRANS_THR,0.01,0.0,1.0,N,Float,1.0,N
VT_F_TR_OL_TM,0.5,1.0,30.0,N,Float,6.0,s
VT_LND_PITCH_MIN,0.1,-10.0,45.0,N,Float,-5.0,deg
VT_PITCH_MIN,0.1,-10.0,45.0,N,Float,-5.0,deg
VT_PSHER_SLEW,0.01,0.0,N,N,Float,0.33,1/s
VT_QC_ALT_LOSS,1.0,0.0,200.0,N,Float,0.0,m
VT_QC_T_ALT_LOSS,1.0,0.0,50.0,N,Float,20.0,m
VT_SPOILER_MC_LD,0.1,-1.0,1.0,N,Float,0.0,norm
VT_TILT_FW,0.01,0.0,1.0,N,Float,1.0,N
VT_TILT_MC,0.01,0.0,1.0,N,Float,0.0,N
VT_TILT_TRANS,0.01,0.0,1.0,N,Float,0.4,N
VT_TRANS_MIN_TM,0.1,0.0,20.0,N,Float,2.0,s
VT_TRANS_P2_DUR,0.01,0.1,5.0,N,Float,0.5,s
VT_TRANS_TIMEOUT,1.0,0.1,30.0,N,Float,15.0,s
VT_TYPE,V,0,2,"['0', '1', '2']",Int32,0,N
WV_GAIN,0.01,0.0,3.0,N,Float,1.0,Hz
VTO_LOITER_ALT,1.0,20.0,300.0,N,Float,80.0,m
VERTIQ_IO_CFG,V,N,N,"['0', '6', '101', '102', '103', '104', '201', '202', '203', '300', '301', '401']",Int32,0,N
VTQ_ARM_BEHAVE,V,N,N,"['0', '1']",Int32,0,N
VTQ_BAUD,N,N,N,N,Int32,115200,N
VTQ_CONTROL_MODE,V,N,N,"['0', '1', '2']",Int32,0,N
VTQ_DISARM_TRIG,V,N,N,"['0', '1', '2']",Int32,0,N
VTQ_DISARM_VELO,N,0,100,N,Int32,0,N
VTQ_FC_DIR,V,N,N,"['0', '1']",Int32,0,N
VTQ_MAX_VELOCITY,N,N,N,N,Float,0.0,N
VTQ_MAX_VOLTS,N,N,N,N,Float,0.0,N
VTQ_MOTOR_DIR,V,N,N,"['0', '1', '2', '3', '4']",Int32,0,N
VTQ_NUM_CVS,N,0,16,N,Int32,0,N
VTQ_PULSE_V_LIM,N,N,N,N,Float,0.0,N
VTQ_PULSE_V_MODE,V,N,N,"['0', '1']",Int32,0,N
VTQ_REDO_READ,V,N,N,"['0', '1']",Int32,0,N
VTQ_TELEM_IDS_1,B,0,4294967295,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31']",Int32,0,N
VTQ_TELEM_IDS_2,B,0,2147483647,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30']",Int32,0,N
VTQ_THROTTLE_CVI,N,0,255,N,Int32,0,N
VTQ_TQUE_OFF_ANG,N,N,N,N,Float,0.0,N
VTQ_TRGT_MOD_ID,N,N,N,N,Int32,0,N
VTQ_VELO_CUTOFF,N,N,N,N,Float,0.0,N
VTQ_X_CVI,N,0,255,N,Int32,0,N
VTQ_Y_CVI,N,0,255,N,Int32,0,N
VTQ_ZERO_ANGLE,N,N,N,N,Float,0.0,N
ZENOH_ENABLE,N,N,N,N,Int32,0,N
SCH16T_ACC_FILT,V,N,N,"['0', '1', '2', '3', '4', '5', '6']",Int32,6,N
SCH16T_DECIM,V,N,N,"['0', '1', '2', '3', '4']",Int32,4,N
SCH16T_GYRO_FILT,V,N,N,"['0', '1', '2', '3', '4', '5', '6']",Int32,2,N
SF1XX_MODE,V,0,2,"['0', '1', '2']",Int32,1,N
UUV_SKIP_CTRL,V,N,N,"['0', '1']",Int32,0,N
