Enum_Name,Value
MOTOR_TEST_THROTTLE_TYPE,"[0, 1, 2, 3]"
GPS_INPUT_IGNORE_FLAGS,"[1, 2, 4, 8, 16, 32, 64, 128]"
MAV_COLLISION_ACTION,"[0, 1, 2, 3, 4, 5, 6]"
MAV_COLLISION_THREAT_LEVEL,"[0, 1, 2]"
MAV_COLLISION_SRC,"[0, 1]"
GPS_FIX_TYPE,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
RTK_BASELINE_COORDINATE_SYSTEM,"[0, 1]"
LANDING_TARGET_TYPE,"[0, 1, 2, 3]"
VTOL_TRANSITION_HEADING,"[0, 1, 2, 3, 4]"
CAMERA_CAP_FLAGS,"[1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096]"
VIDEO_STREAM_STATUS_FLAGS,"[1, 2, 4]"
VIDEO_STREAM_TYPE,"[0, 1, 2, 3]"
VIDEO_STREAM_ENCODING,"[0, 1, 2]"
CAMERA_TRACKING_STATUS_FLAGS,"[0, 1, 2]"
CAMERA_TRACKING_MODE,"[0, 1, 2]"
CAMERA_TRACKING_TARGET_DATA,"[0, 1, 2, 4]"
CAMERA_ZOOM_TYPE,"[0, 1, 2, 3, 4]"
SET_FOCUS_TYPE,"[0, 1, 2, 3, 4, 5, 6]"
CAMERA_SOURCE,"[0, 1, 2, 3]"
PARAM_ACK,"[0, 1, 2, 3]"
CAMERA_MODE,"[0, 1, 2]"
MAV_ARM_AUTH_DENIED_REASON,"[0, 1, 2, 3, 4, 5]"
RC_TYPE,"[0, 1]"
POSITION_TARGET_TYPEMASK,"[1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048]"
ATTITUDE_TARGET_TYPEMASK,"[1, 2, 4, 32, 64, 128]"
UTM_FLIGHT_STATE,"[1, 2, 3, 16, 32]"
UTM_DATA_AVAIL_FLAGS,"[1, 2, 4, 8, 16, 32, 64, 128]"
CELLULAR_STATUS_FLAG,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"
CELLULAR_NETWORK_FAILED_REASON,"[0, 1, 2, 3]"
CELLULAR_NETWORK_RADIO_TYPE,"[0, 1, 2, 3, 4]"
PRECISION_LAND_MODE,"[0, 1, 2]"
PARACHUTE_ACTION,"[0, 1, 2]"
MAV_TUNNEL_PAYLOAD_TYPE,"[0, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209]"
MAV_ODID_ID_TYPE,"[0, 1, 2, 3, 4]"
MAV_ODID_UA_TYPE,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
MAV_ODID_STATUS,"[0, 1, 2, 3, 4]"
MAV_ODID_HEIGHT_REF,"[0, 1]"
MAV_ODID_HOR_ACC,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"
MAV_ODID_VER_ACC,"[0, 1, 2, 3, 4, 5, 6]"
MAV_ODID_SPEED_ACC,"[0, 1, 2, 3, 4]"
MAV_ODID_TIME_ACC,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
MAV_ODID_AUTH_TYPE,"[0, 1, 2, 3, 4, 5]"
MAV_ODID_DESC_TYPE,"[0, 1, 2]"
MAV_ODID_OPERATOR_LOCATION_TYPE,"[0, 1, 2]"
MAV_ODID_CLASSIFICATION_TYPE,"[0, 1]"
MAV_ODID_CATEGORY_EU,"[0, 1, 2, 3]"
MAV_ODID_CLASS_EU,"[0, 1, 2, 3, 4, 5, 6, 7]"
MAV_ODID_OPERATOR_ID_TYPE,[0]
MAV_ODID_ARM_STATUS,"[0, 1]"
TUNE_FORMAT,"[1, 2]"
AIS_TYPE,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]"
AIS_NAV_STATUS,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
AIS_FLAGS,"[1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096]"
FAILURE_UNIT,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 100, 101, 102, 103, 104, 105]"
FAILURE_TYPE,"[0, 1, 2, 3, 4, 5, 6, 7]"
NAV_VTOL_LAND_OPTIONS,"[0, 1, 2]"
MAV_WINCH_STATUS_FLAG,"[1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096, 8192]"
MAG_CAL_STATUS,"[0, 1, 2, 3, 4, 5, 6, 7]"
MAV_EVENT_ERROR_REASON,[0]
MAV_EVENT_CURRENT_SEQUENCE_FLAGS,[1]
HIL_SENSOR_UPDATED_FLAGS,"[0, 1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096, 2147483648]"
HIGHRES_IMU_UPDATED_FLAGS,"[0, 1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096, 65535]"
CAN_FILTER_OP,"[0, 1, 2]"
MAV_FTP_ERR,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
MAV_FTP_OPCODE,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 128, 129]"
MISSION_STATE,"[0, 1, 2, 3, 4, 5]"
SAFETY_SWITCH_STATE,"[0, 1]"
ILLUMINATOR_MODE,"[0, 1, 2]"
ILLUMINATOR_ERROR_FLAGS,"[1, 2, 4]"
MAV_AUTOPILOT,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]"
MAV_TYPE,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]"
MAV_MODE_FLAG,"[1, 2, 4, 8, 16, 32, 64, 128]"
MAV_MODE_FLAG_DECODE_POSITION,"[1, 2, 4, 8, 16, 32, 64, 128]"
MAV_STATE,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
MAV_COMPONENT,"[0, 1, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 169, 171, 172, 173, 174, 175, 180, 181, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 200, 201, 202, 220, 221, 236, 237, 238, 240, 241, 242, 243, 250]"
